date,year,month,day,median_ndvi,landsat
"05-02-2020",2020,2,5,0.173783749341965,Landsat8/9 (OLI)
21-02-2020,2020,2,21,0.173648290336132,Landsat8/9 (OLI)
"08-03-2020",2020,3,8,0.182573691010475,Landsat8/9 (OLI)
24-03-2020,2020,3,24,0.206220790743828,Landsat8/9 (OLI)
"09-04-2020",2020,4,9,0.196783654391766,Landsat8/9 (OLI)
11-05-2020,2020,5,11,0.174438066780567,Landsat8/9 (OLI)
27-05-2020,2020,5,27,0.165705680847168,Landsat8/9 (OLI)
12-06-2020,2020,6,12,0.266677886247635,Landsat8/9 (OLI)
30-07-2020,2020,7,30,nan,Landsat8/9 (OLI)
31-08-2020,2020,8,31,0.454309418797493,Landsat8/9 (OLI)
16-09-2020,2020,9,16,nan,Landsat8/9 (OLI)
"02-10-2020",2020,10,2,0.35178878903389,Landsat8/9 (OLI)
18-10-2020,2020,10,18,0.331201776862144,Landsat8/9 (OLI)
19-11-2020,2020,11,19,nan,Landsat8/9 (OLI)
"05-12-2020",2020,12,5,0.213918104767799,Landsat8/9 (OLI)
21-12-2020,2020,12,21,0.186756372451782,Landsat8/9 (OLI)
"06-01-2021",2021,1,6,nan,Landsat8/9 (OLI)
22-01-2021,2021,1,22,0.154862836003304,Landsat8/9 (OLI)
"07-02-2021",2021,2,7,0.146591305732727,Landsat8/9 (OLI)
23-02-2021,2021,2,23,0.135321214795113,Landsat8/9 (OLI)
11-03-2021,2021,3,11,0.14247914403677,Landsat8/9 (OLI)
27-03-2021,2021,3,27,0.136614128947258,Landsat8/9 (OLI)
12-04-2021,2021,4,12,0.143075503408909,Landsat8/9 (OLI)
28-04-2021,2021,4,28,0.132030427455902,Landsat8/9 (OLI)
14-05-2021,2021,5,14,0.149056404829025,Landsat8/9 (OLI)
30-05-2021,2021,5,30,0.16839411854744,Landsat8/9 (OLI)
15-06-2021,2021,6,15,0.275123953819275,Landsat8/9 (OLI)
