date,year,month,day,median_ndvi,landsat
13-02-2020,2020,2,13,0.158910602331161,Landsat7 (ETM+)
29-02-2020,2020,2,29,0.174806103110313,Landsat7 (ETM+)
"01-04-2020",2020,4,1,0.192871958017349,Landsat7 (ETM+)
17-04-2020,2020,4,17,0.161064311861992,Landsat7 (ETM+)
"03-05-2020",2020,5,3,0.153198130428791,Landsat7 (ETM+)
"08-09-2020",2020,9,8,0.343512415885925,Landsat7 (ETM+)
26-10-2020,2020,10,26,0.281360611319542,Landsat7 (ETM+)
11-11-2020,2020,11,11,0.239354357123375,Landsat7 (ETM+)
13-12-2020,2020,12,13,nan,Landsat7 (ETM+)
29-12-2020,2020,12,29,0.175352171063423,Landsat7 (ETM+)
14-01-2021,2021,1,14,0.153309226036072,Landsat7 (ETM+)
30-01-2021,2021,1,30,0.141509056091309,Landsat7 (ETM+)
15-02-2021,2021,2,15,0.143087416887283,Landsat7 (ETM+)
"03-03-2021",2021,3,3,0.12121469527483,Landsat7 (ETM+)
"04-04-2021",2021,4,4,0.117581896483898,Landsat7 (ETM+)
20-04-2021,2021,4,20,0.112960673868656,Landsat7 (ETM+)
"06-05-2021",2021,5,6,0.1184241771698,Landsat7 (ETM+)
"07-06-2021",2021,6,7,nan,Landsat7 (ETM+)
