region,intercept,slope,r2,n_pairs
gl1_kanha,0.048952473562429315,0.647217631035335,0.8850262202051276,90
gl2_kanha,0.048489482852445906,0.6371591383728672,0.8577477386265777,90
nw_kanha,0.05355864679231503,0.6840725740057515,0.7899813983206402,97
se_kanha,0.015893286020643806,0.7674699008775341,0.7723274050792102,97
whole_kanha,0.024745816086601778,0.7758353008960645,0.8198643525340173,97
