"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2020-02-05,0.265442103147507,"Landsat8/9 (OLI)",2020,2,5,0.265442103147507,0.265368680632128
2020-02-10,0.260081683446514,"Landsat8/9 (OLI)",2020,2,10,0.260081683446514,0.259620101061323
2020-02-15,0.254604110676152,"Landsat8/9 (OLI)",2020,2,15,0.254604110676152,0.255013863869192
2020-02-20,0.250766680876949,"Landsat8/9 (OLI)",2020,2,20,0.250766680876949,0.251549969055732
2020-02-25,0.249261137327537,"Landsat8/9 (OLI)",2020,2,25,0.249261137327537,0.249228416620946
2020-03-01,0.248580341080612,"Landsat8/9 (OLI)",2020,3,1,0.248580341080612,0.248272585883828
2020-03-06,0.248452730264307,"Landsat8/9 (OLI)",2020,3,6,0.248452730264307,0.248779047285948
2020-03-11,0.249069247693868,"Landsat8/9 (OLI)",2020,3,11,0.249069247693868,0.250126589411422
2020-03-16,0.251067986435244,"Landsat8/9 (OLI)",2020,3,16,0.251067986435244,0.251173374616587
2020-03-21,0.252529374095046,"Landsat8/9 (OLI)",2020,3,21,0.252529374095046,0.25095139525445
2020-03-26,0.251243963262823,"Landsat8/9 (OLI)",2020,3,26,0.251243963262823,0.249217932394284
2020-03-31,0.246391055398817,"Landsat8/9 (OLI)",2020,3,31,0.246391055398817,0.246274970812053
2020-04-05,0.241027331154328,"Landsat8/9 (OLI)",2020,4,5,0.241027331154328,0.242680662613518
2020-04-10,0.238561503300389,"Landsat8/9 (OLI)",2020,4,10,0.238561503300389,0.239471428077396
2020-04-15,0.237942628878954,"Landsat8/9 (OLI)",2020,4,15,0.237942628878954,0.237624519250031
2020-04-20,0.23802107336769,"Landsat8/9 (OLI)",2020,4,20,0.23802107336769,0.237571430034029
2020-04-25,0.239160632714629,"Landsat8/9 (OLI)",2020,4,25,0.239160632714629,0.238977705358675
2020-04-30,0.241725102867803,"Landsat8/9 (OLI)",2020,4,30,0.241725102867803,0.241607595029825
2020-05-05,0.246078279775247,"Landsat8/9 (OLI)",2020,5,5,0.246078279775247,0.246101456600308
2020-05-10,0.252583959384992,"Landsat8/9 (OLI)",2020,5,10,0.252583959384992,0.253152073308404
2020-05-15,0.262104708090191,"Landsat8/9 (OLI)",2020,5,15,0.262104708090191,0.263057016712724
2020-05-20,0.275133110351362,"Landsat8/9 (OLI)",2020,5,20,0.275133110351362,0.275719017624898
2020-05-25,0.290408716700767,"Landsat8/9 (OLI)",2020,5,25,0.290408716700767,0.290555463081748
2020-05-30,0.306628794326116,"Landsat8/9 (OLI)",2020,5,30,0.306628794326116,0.306301498122927
